Crop and Irrigation Method,"Total Crop Water Requirement (Irrigation + Effective Rainfall), mm","Irrigation Water Requirement, mm"
Maize (Kharif)- Surface Irrigation,550,300
Maize (Kharif)- Drip Irrigation,450,240
Wheat - Surface Irrigation,350,300
Wheat- Drip Irrigation,275,225
Rice (puddled)- Surface Irrigation,2300,2000
Rice (puddled)- Drip Irrigation,1100,1400
Ground nut (Summer)- Drip Irrigation,380,300
Ground nut (Kharif)- Drip,310,100
Mustard- Surface Irrigation,175,125
Moong Bean(Summer)- Drip,230,200
Green Pea- Drip Irrigation,250,150
Okra (Summer)- Drip Irrigation,400,375
Cowpea (Summer)- Drip Irrigation,400,375
Onion- Drip Irrigation,575,450
Red Pepper (Simla Mirch) Green House with Drip Irrigation,280,280 
Potato- Drip Irrigation,300,220
Broccolli-Drip Irrigation,250,200
